pathway	pancancer	ontology
quinolinate biosynthetic process	12	Biological Process
regulation of transcription by RNA polymerase II	12	Biological Process
negative regulation of catalytic activity	12	Biological Process
negative regulation of cell killing	12	Biological Process
cell surface	12	Cellular Component
spliceosomal complex	12	Cellular Component
creatininase activity	12	Molecular Function
hormone activity	12	Molecular Function
inositol 2-dehydrogenase activity	12	Molecular Function
nitric oxide dioxygenase activity	12	Molecular Function
non-membrane spanning protein tyrosine phosphatase activity	12	Molecular Function
organic acid binding	12	Molecular Function
structural constituent of cuticle	12	Molecular Function
2-desacetyl-2-hydroxyethyl bacteriochlorophyllide a dehydrogenase activity	12	Molecular Function
allene-oxide cyclase activity	12	Molecular Function
kynurenine 3-monooxygenase activity	12	Molecular Function
metal cluster binding	12	Molecular Function
phosphoglycerol geranylgeranyltransferase activity	12	Molecular Function
phosphonoacetate hydrolase activity	12	Molecular Function
tartronate-semialdehyde synthase activity	12	Molecular Function
Myo-, chiro- and scyllo-inositol degradation	12	Metacyc
Myo-inositol degradation II	12	Metacyc
Palmitate biosynthesis (animals and fungi, cytoplasm)	12	Metacyc
(9Z)-tricosene biosynthesis	12	Metacyc
Arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	12	Metacyc
Arachidonate biosynthesis V (8-detaturase, mammals)	12	Metacyc
Cyanuric acid degradation I	12	Metacyc
Dimethyl sulfide degradation II (oxidation)	12	Metacyc
Heptaprenyl diphosphate biosynthesis	12	Metacyc
Hydroxylated fatty acid biosynthesis (plants)	12	Metacyc
Icosapentaenoate biosynthesis III (8-desaturase, mammals)	12	Metacyc
Icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)	12	Metacyc
Juniperonate biosynthesis	12	Metacyc
Mrna capping II	12	Metacyc
Sciadonate biosynthesis	12	Metacyc
Ultra-long-chain fatty acid biosynthesis	12	Metacyc
Very long chain fatty acid biosynthesis I	12	Metacyc
Very long chain fatty acid biosynthesis II	12	Metacyc
Pre-NOTCH Processing in Golgi	12	Reactome
BBSome-mediated cargo-targeting to cilium	12	Reactome
Chylomicron remodeling	12	Reactome
Paradoxical activation of RAF signaling by kinase inactive BRAF	12	Reactome
Signaling by moderate kinase activity BRAF mutants	12	Reactome
Signaling downstream of RAS mutants	12	Reactome
VxPx cargo-targeting to cilium	12	Reactome
defense response to Gram-positive bacterium	11	Biological Process
ribosome assembly	11	Biological Process
viral release from host cell by cytolysis	11	Biological Process
methylgallate metabolic process	11	Biological Process
response to desiccation	11	Biological Process
N-acetylneuraminate catabolic process	11	Biological Process
glycerophosphodiester transmembrane transport	11	Biological Process
S-layer	11	Cellular Component
cytochrome b6f complex	11	Cellular Component
nuclear pore	11	Cellular Component
TRAPP complex	11	Cellular Component
3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity	11	Molecular Function
glutathione-regulated potassium exporter activity	11	Molecular Function
N-acetylglucosamine kinase activity	11	Molecular Function
structural constituent of cell wall	11	Molecular Function
2-dehydro-3-deoxyglucarate aldolase activity	11	Molecular Function
calmodulin-dependent protein kinase activity	11	Molecular Function
coenzyme F420-0 gamma-glutamyl ligase activity	11	Molecular Function
cyclin-dependent protein serine/threonine kinase regulator activity	11	Molecular Function
haloalkane dehalogenase activity	11	Molecular Function
lycopene beta cyclase activity	11	Molecular Function
N-acetylglucosaminylinositol deacetylase activity	11	Molecular Function
polyphosphate:AMP phosphotransferase activity	11	Molecular Function
ubiquitin protein ligase binding	11	Molecular Function
glucosyltransferase activity	11	Molecular Function
N-acylmannosamine kinase activity	11	Molecular Function
ATPase-coupled glycerol-3-phosphate transmembrane transporter activity	11	Molecular Function
L-carnitine degradation III	11	Metacyc
N-acetylglucosamine degradation II	11	Metacyc
2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	11	Metacyc
2-aminophenol degradation	11	Metacyc
2,2'-dihydroxybiphenyl degradation	11	Metacyc
2,3-dihydroxybenzoate degradation	11	Metacyc
3-chlorocatechol degradation III (meta pathway)	11	Metacyc
4-amino-3-hydroxybenzoate degradation	11	Metacyc
4-nitrotoluene degradation II	11	Metacyc
Dibenzothiophene desulfurization	11	Metacyc
Protocatechuate degradation III (para-cleavage pathway)	11	Metacyc
Urea degradation I	11	Metacyc
CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	11	Metacyc
Methanogenesis from trimethylamine	11	Metacyc
Cytosolic iron-sulfur cluster assembly	11	Reactome
G alpha (i) signalling events	11	Reactome
CaMK IV-mediated phosphorylation of CREB	11	Reactome
Long-term potentiation	11	Reactome
Negative regulation of NMDA receptor-mediated neuronal transmission	11	Reactome
Phase 0 - rapid depolarisation	11	Reactome
Ras activation upon Ca2+ influx through NMDA receptor	11	Reactome
Regulation of MECP2 expression and activity	11	Reactome
Synthesis of very long-chain fatty acyl-CoAs	11	Reactome
Trafficking of AMPA receptors	11	Reactome
Unblocking of NMDA receptors, glutamate binding and activation	11	Reactome
6-sulfoquinovose(1-) catabolic process	10	Biological Process
D-gluconate metabolic process	10	Biological Process
exit of virus from host cell nucleus by nuclear egress	10	Biological Process
teichoic acid transport	10	Biological Process
transcription by RNA polymerase II	10	Biological Process
viral budding from nuclear membrane	10	Biological Process
zymogen activation	10	Biological Process
killing of cells of other organism	10	Biological Process
negative regulation of single-species biofilm formation	10	Biological Process
oxalate metabolic process	10	Biological Process
phosphatidylcholine metabolic process	10	Biological Process
cellular monovalent inorganic cation homeostasis	10	Biological Process
COPI vesicle coat	10	Cellular Component
SAGA complex	10	Cellular Component
aminobutyraldehyde dehydrogenase activity	10	Molecular Function
ATPase-coupled taurine transporter activity	10	Molecular Function
ATPase-coupled teichoic acid transmembrane transporter activity	10	Molecular Function
cytochrome bo3 ubiquinol oxidase activity	10	Molecular Function
gluconokinase activity	10	Molecular Function
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, with 2-oxoglutarate as one donor, and the other dehydrogenated	10	Molecular Function
tagaturonate reductase activity	10	Molecular Function
voltage-gated potassium channel activity	10	Molecular Function
antisigma factor binding	10	Molecular Function
deoxyribonuclease inhibitor activity	10	Molecular Function
L-lysine 6-oxidase activity	10	Molecular Function
lysophospholipase activity	10	Molecular Function
maleate isomerase activity	10	Molecular Function
protein-N-terminal asparagine amidohydrolase activity	10	Molecular Function
monovalent inorganic cation transmembrane transporter activity	10	Molecular Function
olfactory receptor activity	10	Molecular Function
Acyl-[acyl-carrier protein] thioesterase pathway	10	Metacyc
Oleate biosynthesis I (plants)	10	Metacyc
Palmitoleate biosynthesis II (plants and bacteria)	10	Metacyc
Oxalate degradation V	10	Metacyc
D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis	10	Metacyc
D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	10	Metacyc
TET1,2,3 and TDG demethylate DNA	10	Reactome
Glycerophospholipid catabolism	10	Reactome
Nef Mediated CD4 Down-regulation	10	Reactome
Nef Mediated CD8 Down-regulation	10	Reactome
HSF1 activation	10	Reactome
Noncanonical activation of NOTCH3	10	Reactome
NOTCH4 Activation and Transmission of Signal to the Nucleus	10	Reactome
Nuclear signaling by ERBB4	10	Reactome
Regulated proteolysis of p75NTR	10	Reactome
regulation of proteasomal protein catabolic process	9	Biological Process
tRNA acetylation	9	Biological Process
tRNA wobble cytosine modification	9	Biological Process
cysteine biosynthetic process via cystathionine	9	Biological Process
cytoskeleton organization	9	Biological Process
methanogenesis	9	Biological Process
N-terminal protein amino acid methylation	9	Biological Process
oligosaccharide transport	9	Biological Process
proteasome-mediated ubiquitin-dependent protein catabolic process	9	Biological Process
triterpenoid biosynthetic process	9	Biological Process
viral procapsid maturation	9	Biological Process
cilium assembly	9	Biological Process
bacteriocin biosynthetic process	9	Biological Process
mRNA transport	9	Biological Process
sialic acid transport	9	Biological Process
integrin complex	9	Cellular Component
lipid droplet	9	Cellular Component
small-subunit processome	9	Cellular Component
flap endonuclease activity	9	Molecular Function
glucarate dehydratase activity	9	Molecular Function
histone-lysine N-methyltransferase activity	9	Molecular Function
O-acetyltransferase activity	9	Molecular Function
ornithine decarboxylase activity	9	Molecular Function
protein-glutamine gamma-glutamyltransferase activity	9	Molecular Function
Ran GTPase binding	9	Molecular Function
saccharopine dehydrogenase (NAD+, L-lysine-forming) activity	9	Molecular Function
tRNA N-acetyltransferase activity	9	Molecular Function
2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity	9	Molecular Function
ATP transmembrane transporter activity	9	Molecular Function
beta-amyrin synthase activity	9	Molecular Function
cystathionine beta-synthase activity	9	Molecular Function
deoxyribonuclease II activity	9	Molecular Function
geranylgeranyl reductase activity	9	Molecular Function
lanosterol synthase activity	9	Molecular Function
N-acetylornithine carbamoyltransferase activity	9	Molecular Function
phosphatase activator activity	9	Molecular Function
tRNA guanylyltransferase activity	9	Molecular Function
transcription coactivator activity	9	Molecular Function
ATP-dependent microtubule motor activity, minus-end-directed	9	Molecular Function
sialic acid transmembrane transporter activity	9	Molecular Function
3-methylarginine biosynthesis	9	Metacyc
Beta-carboline biosynthesis	9	Metacyc
Hydroxycinnamic acid serotonin amides biosynthesis	9	Metacyc
L-tryptophan degradation VI (via tryptamine)	9	Metacyc
L-tryptophan degradation X (mammalian, via tryptamine)	9	Metacyc
Prunasin and amygdalin biosynthesis	9	Metacyc
Secologanin and strictosidine biosynthesis	9	Metacyc
Stearate biosynthesis I (animals)	9	Metacyc
Cyanide detoxification II	9	Metacyc
G alpha (q) signalling events	9	Reactome
Keratinization	9	Reactome
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling	9	Reactome
Prolactin receptor signaling	9	Reactome
alpha-glucan catabolic process	8	Biological Process
cellular oligosaccharide catabolic process	8	Biological Process
dGTP catabolic process	8	Biological Process
oxalate catabolic process	8	Biological Process
autophagy	8	Biological Process
cGMP biosynthetic process	8	Biological Process
exocytosis	8	Biological Process
tRNA splicing, via endonucleolytic cleavage and ligation	8	Biological Process
viral DNA genome replication	8	Biological Process
multicellular organism development	8	Biological Process
dormancy process	8	Biological Process
mRNA export from nucleus	8	Biological Process
histone deacetylation	8	Biological Process
positive regulation of cell cycle G2/M phase transition	8	Biological Process
checkpoint clamp complex	8	Cellular Component
endoplasmic reticulum membrane	8	Cellular Component
nucleolus	8	Cellular Component
transcription factor TFIID complex	8	Cellular Component
2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	8	Molecular Function
5-dehydro-2-deoxygluconokinase activity	8	Molecular Function
dGTPase activity	8	Molecular Function
oxalyl-CoA decarboxylase activity	8	Molecular Function
thiamine kinase activity	8	Molecular Function
gamma-tubulin binding	8	Molecular Function
GDP-mannose mannosyl hydrolase activity	8	Molecular Function
guanylate cyclase activity	8	Molecular Function
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	8	Molecular Function
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	8	Molecular Function
phosphorus-oxygen lyase activity	8	Molecular Function
protocatechuate 4,5-dioxygenase activity	8	Molecular Function
signaling receptor binding	8	Molecular Function
anion channel activity	8	Molecular Function
complement binding	8	Molecular Function
Sesquiterpenoid and triterpenoid biosynthesis	8	KEGG
Tetracycline biosynthesis	8	KEGG
Alliin metabolism	8	Metacyc
Amaryllidacea alkaloids biosynthesis	8	Metacyc
D-carnitine degradation II	8	Metacyc
L-carnitine degradation II	8	Metacyc
Methiin metabolism	8	Metacyc
Propanethial S-oxide biosynthesis	8	Metacyc
Aromatic biogenic amine degradation (bacteria)	8	Metacyc
Tetracycline and oxytetracycline biosynthesis	8	Metacyc
Peptide ligand-binding receptors	8	Reactome
Activation of AKT2	8	Reactome
Estrogen-stimulated signaling through PRKCZ	8	Reactome
G beta:gamma signalling through PI3Kgamma	8	Reactome
GPVI-mediated activation cascade	8	Reactome
Integrin signaling	8	Reactome
Interleukin-20 family signaling	8	Reactome
Intra-Golgi traffic	8	Reactome
Laminin interactions	8	Reactome
MET activates PTK2 signaling	8	Reactome
Role of LAT2/NTAL/LAB on calcium mobilization	8	Reactome
RSK activation	8	Reactome
Switching of origins to a post-replicative state	8	Reactome
VEGFR2 mediated cell proliferation	8	Reactome
arginine transport	7	Biological Process
glycogen metabolic process	7	Biological Process
hydrogen sulfide biosynthetic process	7	Biological Process
citrate metabolic process	7	Biological Process
rhamnose transmembrane transport	7	Biological Process
spliceosomal snRNP assembly	7	Biological Process
organelle organization	7	Biological Process
protein retention in ER lumen	7	Biological Process
D-tagatose 6-phosphate catabolic process	7	Biological Process
maltose transport	7	Biological Process
host cell membrane	7	Cellular Component
mitochondrial ribosome	7	Cellular Component
proton-transporting V-type ATPase, V1 domain	7	Cellular Component
signal peptidase complex	7	Cellular Component
arginine transmembrane transporter activity	7	Molecular Function
iduronate-2-sulfatase activity	7	Molecular Function
ionotropic glutamate receptor activity	7	Molecular Function
lipoate-protein ligase activity	7	Molecular Function
pyruvate oxidase activity	7	Molecular Function
sulfite reductase activity	7	Molecular Function
arylesterase activity	7	Molecular Function
methenyltetrahydromethanopterin cyclohydrolase activity	7	Molecular Function
crotonyl-CoA reductase activity	7	Molecular Function
D(-)-tartrate dehydratase activity	7	Molecular Function
ER retention sequence binding	7	Molecular Function
oligogalacturonide lyase activity	7	Molecular Function
1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity	7	Molecular Function
glyoxylate reductase (NADP) activity	7	Molecular Function
hydroxypyruvate reductase activity	7	Molecular Function
Bisphenol degradation	7	KEGG
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	7	KEGG
L-malate degradation II	7	Metacyc
Putrescine degradation III	7	Metacyc
Spermine and spermidine degradation I	7	Metacyc
Arsenate detoxification IV (mycothiol)	7	Metacyc
Formaldehyde oxidation V (bacillithiol-dependent)	7	Metacyc
Heparan sulfate biosynthesis (late stages)	7	Metacyc
Syringate degradation	7	Metacyc
L-serine biosynthesis II	7	Metacyc
Carbon monoxide oxidation to CO2	7	Metacyc
MPS II - Hunter syndrome	7	Reactome
Asparagine N-linked glycosylation	7	Reactome
Blockage of phagosome acidification	7	Reactome
HS-GAG biosynthesis	7	Reactome
Miscellaneous transport and binding events	7	Reactome
Phosphate bond hydrolysis by NTPDase proteins	7	Reactome
Pre-NOTCH Transcription and Translation	7	Reactome
Role of ABL in ROBO-SLIT signaling	7	Reactome
Sodium/Proton exchangers	7	Reactome
Synthesis of 5-eicosatetraenoic acids	7	Reactome
Myogenesis	7	Reactome
Defective B3GALTL causes Peters-plus syndrome (PpS)	7	Reactome
DNA replication initiation	7	Reactome
O-glycosylation of TSR domain-containing proteins	7	Reactome
Telomere C-strand synthesis initiation	7	Reactome
mitochondrial electron transport, NADH to ubiquinone	6	Biological Process
diaminopimelate biosynthetic process	6	Biological Process
Golgi vesicle transport	6	Biological Process
modulation by virus of host process	6	Biological Process
nucleocytoplasmic transport	6	Biological Process
peptidyl-arginine methylation	6	Biological Process
regulation of cyclin-dependent protein serine/threonine kinase activity	6	Biological Process
regulation of signal transduction	6	Biological Process
viral entry into host cell	6	Biological Process
immune response	6	Biological Process
taurine catabolic process	6	Biological Process
mitigation of host immune response by virus	6	Biological Process
chromatin assembly or disassembly	6	Biological Process
ribonucleoprotein complex	6	Cellular Component
transcription factor TFIIH core complex	6	Cellular Component
glycolate oxidase complex	6	Cellular Component
motile cilium	6	Cellular Component
1,2-diacylglycerol 3-glucosyltransferase activity	6	Molecular Function
6-deoxy-6-sulfofructose-1-phosphate aldolase activity	6	Molecular Function
NAD(P)+ transhydrogenase (B-specific) activity	6	Molecular Function
tocopherol cyclase activity	6	Molecular Function
UDP-glucosyltransferase activity	6	Molecular Function
xylonate dehydratase activity	6	Molecular Function
alternative oxidase activity	6	Molecular Function
chromatin binding	6	Molecular Function
protein kinase binding	6	Molecular Function
protein-arginine N-methyltransferase activity	6	Molecular Function
pullulanase activity	6	Molecular Function
glycolate oxidase activity	6	Molecular Function
RNA-directed 5'-3' RNA polymerase activity	6	Molecular Function
ferric iron transmembrane transporter activity	6	Molecular Function
sulfoacetaldehyde acetyltransferase activity	6	Molecular Function
telomerase RNA reverse transcriptase activity	6	Molecular Function
3-carboxyethylcatechol 2,3-dioxygenase activity	6	Molecular Function
acetate transmembrane transporter activity	6	Molecular Function
glycolate transmembrane transporter activity	6	Molecular Function
GDP-dissociation inhibitor activity	6	Molecular Function
histone deacetylase activity	6	Molecular Function
immunoglobulin binding	6	Molecular Function
holocytochrome-c synthase activity	6	Molecular Function
D-xylose degradation III	6	Metacyc
D-xylose degradation V	6	Metacyc
Ethylene glycol biosynthesis (engineered)	6	Metacyc
Fatty acid biosynthesis initiation (animals and fungi, cytoplasm)	6	Metacyc
1D-myo-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)	6	Metacyc
Inositol diphosphates biosynthesis	6	Metacyc
Hyaluronan degradation	6	Metacyc
UDP-N-acetyl-alpha-D-mannosaminouronate biosynthesis	6	Metacyc
Acyl chain remodelling of PE	6	Reactome
Acyl chain remodelling of PI	6	Reactome
Acyl chain remodelling of PS	6	Reactome
Apoptotic factor-mediated response	6	Reactome
Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function	6	Reactome
Golgi Associated Vesicle Biogenesis	6	Reactome
Lysosome Vesicle Biogenesis	6	Reactome
Meiotic synapsis	6	Reactome
Regulation of lipid metabolism by PPARalpha	6	Reactome
RORA activates gene expression	6	Reactome
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	6	Reactome
SLBP independent Processing of Histone Pre-mRNAs	6	Reactome
Synthesis of IPs in the nucleus	6	Reactome
TRAF6 mediated IRF7 activation	6	Reactome
(R)-carnitine transport	5	Biological Process
4-(trimethylammonio)butanoate transport	5	Biological Process
enterobactin transport	5	Biological Process
galactosylceramide catabolic process	5	Biological Process
mRNA methylation	5	Biological Process
peptide cross-linking	5	Biological Process
regulation of bacterial-type flagellum-dependent cell motility by regulation of motor speed	5	Biological Process
response to acidic pH	5	Biological Process
7-methylguanosine mRNA capping	5	Biological Process
barbed-end actin filament capping	5	Biological Process
cell-matrix adhesion	5	Biological Process
ceramide metabolic process	5	Biological Process
generation of catalytic spliceosome for second transesterification step	5	Biological Process
hopanoid biosynthetic process	5	Biological Process
mitochondrial electron transport, ubiquinol to cytochrome c	5	Biological Process
phospholipid catabolic process	5	Biological Process
proteasome assembly	5	Biological Process
RNA splicing	5	Biological Process
Wnt signaling pathway	5	Biological Process
protein neddylation	5	Biological Process
phosphatidylinositol dephosphorylation	5	Biological Process
RNA polyadenylation	5	Biological Process
F-actin capping protein complex	5	Cellular Component
lysosome	5	Cellular Component
mitochondrial outer membrane	5	Cellular Component
mitochondrial respiratory chain complex III	5	Cellular Component
origin recognition complex	5	Cellular Component
photosystem I reaction center	5	Cellular Component
MKS complex	5	Cellular Component
eukaryotic translation elongation factor 1 complex	5	Cellular Component
ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	5	Cellular Component
exocyst	5	Cellular Component
integral to host endoplasmic reticulum membrane	5	Cellular Component
(R)-carnitine:4-(trimethylammonio)butanoate antiporter activity	5	Molecular Function
acid-thiol ligase activity	5	Molecular Function
agmatinase activity	5	Molecular Function
alpha-1,4-glucosidase activity	5	Molecular Function
carnitine-CoA ligase activity	5	Molecular Function
crotonobetaine-CoA ligase activity	5	Molecular Function
enterobactin transmembrane transporter activity	5	Molecular Function
galactosylceramidase activity	5	Molecular Function
mRNA methyltransferase activity	5	Molecular Function
N-methyl-L-amino-acid oxidase activity	5	Molecular Function
transferase activity, transferring sulfur-containing groups	5	Molecular Function
ATP adenylyltransferase activity	5	Molecular Function
catechol oxidase activity	5	Molecular Function
MAP kinase activity	5	Molecular Function
nucleoside binding	5	Molecular Function
S-adenosyl-L-methionine binding	5	Molecular Function
SNAP receptor activity	5	Molecular Function
urate oxidase activity	5	Molecular Function
(2,3-dihydroxybenzoyl)adenylate synthase activity	5	Molecular Function
D-cysteine desulfhydrase activity	5	Molecular Function
zinc ion transmembrane transporter activity	5	Molecular Function
choline transmembrane transporter activity	5	Molecular Function
NEDD8 activating enzyme activity	5	Molecular Function
deoxyribonuclease IV (phage-T4-induced) activity	5	Molecular Function
Cytidylyl molybdenum cofactor biosynthesis	5	Metacyc
Diploterol biosynthesis	5	Metacyc
O-diquinones biosynthesis	5	Metacyc
L-rhamnose degradation II	5	Metacyc
Condensation of Prophase Chromosomes	5	Reactome
HDMs demethylate histones	5	Reactome
Hydrolysis of LPC	5	Reactome
Packaging Of Telomere Ends	5	Reactome
WNT5A-dependent internalization of FZD2, FZD5 and ROR2	5	Reactome
WNT5A-dependent internalization of FZD4	5	Reactome
Cation-coupled Chloride cotransporters	5	Reactome
Chylomicron assembly	5	Reactome
VLDL assembly	5	Reactome
allantoin assimilation pathway	4	Biological Process
TMP biosynthetic process	4	Biological Process
7-methylguanosine RNA capping	4	Biological Process
actin cytoskeleton organization	4	Biological Process
aflatoxin biosynthetic process	4	Biological Process
cytoplasmic microtubule organization	4	Biological Process
glucosylglycerol biosynthetic process	4	Biological Process
L-methionine salvage	4	Biological Process
microtubule nucleation	4	Biological Process
mRNA cleavage	4	Biological Process
negative regulation of ATPase activity	4	Biological Process
plasma membrane phospholipid scrambling	4	Biological Process
regulation of protein catabolic process	4	Biological Process
viral protein processing	4	Biological Process
xenobiotic catabolic process	4	Biological Process
2-aminoethylphosphonate transport	4	Biological Process
mRNA 3'-end processing	4	Biological Process
pyrimidine nucleotide transport	4	Biological Process
regulation of microtubule polymerization or depolymerization	4	Biological Process
carboxylic acid transport	4	Biological Process
cell volume homeostasis	4	Biological Process
cellular hyperosmotic response	4	Biological Process
Kdo2-lipid A biosynthetic process	4	Biological Process
maltodextrin transport	4	Biological Process
viral latency	4	Biological Process
zinc ion transmembrane transport	4	Biological Process
cell surface receptor signaling pathway	4	Biological Process
retrograde transport, endosome to Golgi	4	Biological Process
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	4	Biological Process
chlorophyll catabolic process	4	Biological Process
inositol phosphate biosynthetic process	4	Biological Process
transcription elongation from RNA polymerase II promoter	4	Biological Process
plasminogen activation	4	Biological Process
intrinsic component of membrane	4	Cellular Component
DASH complex	4	Cellular Component
gamma-tubulin complex	4	Cellular Component
integral component of endoplasmic reticulum membrane	4	Cellular Component
microtubule associated complex	4	Cellular Component
mitotic spindle	4	Cellular Component
transcription factor TFIIA complex	4	Cellular Component
vacuolar proton-transporting V-type ATPase, V1 domain	4	Cellular Component
retromer, cargo-selective complex	4	Cellular Component
vacuolar proton-transporting V-type ATPase complex	4	Cellular Component
2-hydroxyglutarate dehydrogenase activity	4	Molecular Function
3-dehydro-L-gulonate 2-dehydrogenase activity	4	Molecular Function
3-sulfolactaldehyde reductase activity	4	Molecular Function
allantoate deiminase activity	4	Molecular Function
DNA polymerase activity	4	Molecular Function
histidine phosphotransfer kinase activity	4	Molecular Function
aromatase activity	4	Molecular Function
ATPase inhibitor activity	4	Molecular Function
formylmethanofuran-tetrahydromethanopterin N-formyltransferase activity	4	Molecular Function
inositol pentakisphosphate 2-kinase activity	4	Molecular Function
L-lysine 6-transaminase activity	4	Molecular Function
mRNA guanylyltransferase activity	4	Molecular Function
NAD+-dinitrogen-reductase ADP-D-ribosyltransferase activity	4	Molecular Function
NADPH-hemoprotein reductase activity	4	Molecular Function
phospholipid scramblase activity	4	Molecular Function
RNA ligase (ATP) activity	4	Molecular Function
mating-type factor pheromone receptor activity	4	Molecular Function
cytokine receptor binding	4	Molecular Function
pyrimidine nucleotide transmembrane transporter activity	4	Molecular Function
xylan 1,4-beta-xylosidase activity	4	Molecular Function
chloride transmembrane transporter activity	4	Molecular Function
L-rhamnonate dehydratase activity	4	Molecular Function
maltodextrin transmembrane transporter activity	4	Molecular Function
maltose transporting porin activity	4	Molecular Function
palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity	4	Molecular Function
protein-macromolecule adaptor activity	4	Molecular Function
serine transmembrane transporter activity	4	Molecular Function
threonine efflux transmembrane transporter activity	4	Molecular Function
transferase activity, transferring one-carbon groups	4	Molecular Function
glucan 1,4-alpha-glucosidase activity	4	Molecular Function
Rab GDP-dissociation inhibitor activity	4	Molecular Function
chlorophyllase activity	4	Molecular Function
hemoglobin binding	4	Molecular Function
phospholipid transporter activity	4	Molecular Function
Monoterpenoid biosynthesis	4	KEGG
(S)-reticuline biosynthesis I	4	Metacyc
(S)-reticuline biosynthesis II	4	Metacyc
Hydroxycinnamic acid tyramine amides biosynthesis	4	Metacyc
Octopamine biosynthesis	4	Metacyc
Alkane biosynthesis I	4	Metacyc
Beta myrcene degradation	4	Metacyc
Heptadecane biosynthesis	4	Metacyc
Hydrogen oxidation II (aerobic, NAD)	4	Metacyc
Hydrogen production II	4	Metacyc
L-lysine degradation VI	4	Metacyc
Melatonin degradation I	4	Metacyc
Trna splicing I	4	Metacyc
Trna splicing II	4	Metacyc
Vanillin biosynthesis I	4	Metacyc
L-rhamnose degradation III	4	Metacyc
Chlorophyll a degradation I	4	Metacyc
Chlorophyll a degradation II	4	Metacyc
Chlorophyll a degradation III	4	Metacyc
Phytochelatins biosynthesis	4	Metacyc
Tight junction interactions	4	Reactome
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	4	Reactome
AURKA Activation by TPX2	4	Reactome
Cyclin A:Cdk2-associated events at S phase entry	4	Reactome
Cyclin E associated events during G1/S transition	4	Reactome
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	4	Reactome
Loss of Nlp from mitotic centrosomes	4	Reactome
Loss of proteins required for interphase microtubule organization from the centrosome	4	Reactome
RNA Polymerase I Promoter Opening	4	Reactome
Transcriptional regulation of granulopoiesis	4	Reactome
Defective Mismatch Repair Associated With MLH1	4	Reactome
Defective Mismatch Repair Associated With PMS2	4	Reactome
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	4	Reactome
Regulation of Complement cascade	4	Reactome
Regulation of IFNA signaling	4	Reactome
Vitamin D (calciferol) metabolism	4	Reactome
AKT phosphorylates targets in the cytosol	4	Reactome
dipeptide transport	3	Biological Process
intracellular transport of virus	3	Biological Process
positive regulation of cytoskeleton organization	3	Biological Process
(1->6)-beta-D-glucan biosynthetic process	3	Biological Process
actin filament depolymerization	3	Biological Process
attachment of spindle microtubules to kinetochore	3	Biological Process
deadenylation-dependent decapping of nuclear-transcribed mRNA	3	Biological Process
DNA biosynthetic process	3	Biological Process
kinetochore assembly	3	Biological Process
lipid storage	3	Biological Process
methanol catabolic process	3	Biological Process
mitochondrion organization	3	Biological Process
negative regulation of growth	3	Biological Process
positive regulation of catalytic activity	3	Biological Process
protein import into nucleus	3	Biological Process
protein insertion into ER membrane	3	Biological Process
protein-phycocyanobilin linkage	3	Biological Process
proton export across plasma membrane	3	Biological Process
receptor catabolic process	3	Biological Process
spermine biosynthetic process	3	Biological Process
transcription by RNA polymerase III	3	Biological Process
vacuolar proton-transporting V-type ATPase complex assembly	3	Biological Process
pyrimidine nucleotide-sugar transmembrane transport	3	Biological Process
regulation of phosphoprotein phosphatase activity	3	Biological Process
viral RNA genome replication	3	Biological Process
antigen processing and presentation	3	Biological Process
response to bacterium	3	Biological Process
3-(3-hydroxy)phenylpropionate catabolic process	3	Biological Process
galactitol catabolic process	3	Biological Process
galactitol metabolic process	3	Biological Process
gamma-aminobutyric acid transport	3	Biological Process
lysophospholipid transport	3	Biological Process
nucleobase-containing small molecule interconversion	3	Biological Process
nucleobase-containing small molecule metabolic process	3	Biological Process
purine nucleoside transmembrane transport	3	Biological Process
response to methylglyoxal	3	Biological Process
transcriptional attenuation by ribosome	3	Biological Process
multivesicular body sorting pathway	3	Biological Process
cell motility	3	Biological Process
cilium movement involved in cell motility	3	Biological Process
